QTCP Werner window-size and Werner-parameter update.
Default simulation parameters are defined in WINDOW_UPDATE_DEFAULT_CASE in this script.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 3 / ( n + 50) ^ 0.7
  delta(n) = 0.05 / (n + 50) ^ 0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  77 | 0.101032 | 0.024177 |  28.640281 |     29 | 0.000001 | 2.400000 | 0.825000 | 0.795000 | 0.825000 |  -1.240857 |      165 |    741 |     547 |  28.799407 | 0.000001
  78 | 0.100479 | 0.024148 |  28.799407 |     29 | 0.000001 | 2.400000 | 0.860000 | 0.900000 | 0.775000 |   5.176325 |      172 |    747 |     546 |  28.954144 | 0.520112
  79 | 0.099933 | 0.024120 |  28.954144 |     29 | 0.520112 | 2.400000 | 3.825000 | 3.785000 | 3.680000 |   2.176596 |      765 |   1322 |     528 |  28.811740 | 0.737625
  80 | 0.099394 | 0.024092 |  28.811740 |     29 | 0.737625 | 2.400000 | 4.820000 | 4.455000 | 4.945000 | -10.169219 |      964 |   1329 |     346 |  28.571206 | 0.000001
  81 | 0.098862 | 0.024065 |  28.571206 |     29 | 0.000001 | 2.400000 | 0.700000 | 0.905000 | 0.760000 |   6.025439 |      140 |    719 |     550 |  28.739272 | 0.595691
  82 | 0.098338 | 0.024037 |  28.739272 |     29 | 0.595691 | 2.400000 | 4.835000 | 4.410000 | 4.230000 |   3.744196 |      967 |   1504 |     508 |  28.499820 | 0.963886
  83 | 0.097819 | 0.024010 |  28.499820 |     29 | 0.963886 | 2.400000 | 0.785000 | 0.255000 | 1.285000 | -21.449391 |      157 |    183 |      23 |  28.657798 | 0.000001
  84 | 0.097308 | 0.023983 |  28.657798 |     29 | 0.000001 | 2.400000 | 0.760000 | 0.905000 | 0.850000 |   2.293287 |      152 |    728 |     547 |  28.817383 | 0.223156
  85 | 0.096803 | 0.023956 |  28.817383 |     29 | 0.223156 | 2.400000 | 1.585000 | 2.060000 | 1.480000 |  12.105370 |      317 |    892 |     546 |  28.896277 | 0.999999
  86 | 0.096304 | 0.023930 |  28.896277 |     29 | 0.999999 | 2.400000 | 0.005000 | 0.000000 | 0.530000 | -22.148112 |        1 |      1 |       0 |  29.126925 | 0.000001
  87 | 0.095811 | 0.023904 |  29.126925 |     30 | 0.000001 | 2.400000 | 0.895000 | 0.805000 | 0.795000 |   0.418348 |      179 |    771 |     562 |  29.271121 | 0.040084
  88 | 0.095325 | 0.023877 |  29.271121 |     30 | 0.040084 | 2.400000 | 0.945000 | 1.075000 | 0.870000 |   4.292751 |      189 |    783 |     564 |  29.409819 | 0.449289
  89 | 0.094844 | 0.023852 |  29.409819 |     30 | 0.449289 | 2.400000 | 3.355000 | 3.435000 | 3.020000 |   8.699621 |      671 |   1259 |     558 |  29.319243 | 0.999999
  90 | 0.094369 | 0.023826 |  29.319243 |     30 | 0.999999 | 2.400000 | 0.000000 | 0.005000 | 0.545000 | -22.664334 |        0 |      1 |       1 |  29.545729 | 0.000001
  91 | 0.093900 | 0.023801 |  29.545729 |     30 | 0.000001 | 2.400000 | 0.870000 | 0.915000 | 0.890000 |   1.050396 |      174 |    772 |     568 |  29.689397 | 0.098634
  92 | 0.093437 | 0.023775 |  29.689397 |     30 | 0.098634 | 2.400000 | 1.165000 | 1.380000 | 1.120000 |   5.467850 |      233 |    828 |     565 |  29.804792 | 0.609534
  93 | 0.092979 | 0.023750 |  29.804792 |     30 | 0.609534 | 2.400000 | 4.920000 | 5.240000 | 4.675000 |  11.894573 |      984 |   1536 |     523 |  29.570484 | 0.999999
  94 | 0.092527 | 0.023726 |  29.570484 |     30 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.540000 | -22.760308 |        0 |      1 |       1 |  29.792549 | 0.000001
  95 | 0.092080 | 0.023701 |  29.792549 |     30 | 0.000001 | 2.400000 | 0.905000 | 0.880000 | 0.900000 |  -0.843850 |      181 |    776 |     565 |  29.930208 | 0.000001
  96 | 0.091638 | 0.023676 |  29.930208 |     30 | 0.000001 | 2.400000 | 0.805000 | 0.935000 | 0.740000 |   8.236023 |      161 |    758 |     567 |  30.076370 | 0.754731
  97 | 0.091201 | 0.023652 |  30.076370 |     31 | 0.754731 | 2.400000 | 4.590000 | 4.300000 | 4.910000 | -12.895181 |      918 |   1243 |     310 |  29.876640 | 0.000001
