QTCP Werner window-size and Werner-parameter update.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 1 / n
  delta(n) = 0.05 / (n + 50)^0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  75 | 0.013333 | 0.024234 |  21.575950 |     22 | 0.728983 | 2.400000 | 3.875000 | 4.355000 | 4.555000 |  -4.126354 |      775 |   1155 |     358 |  21.556284 | 0.673965
  76 | 0.013158 | 0.024206 |  21.556284 |     22 | 0.673965 | 2.400000 | 4.050000 | 4.395000 | 4.100000 |   6.093651 |      810 |   1203 |     374 |  21.534573 | 0.754145
  77 | 0.012987 | 0.024177 |  21.534573 |     22 | 0.754145 | 2.400000 | 4.345000 | 4.210000 | 4.535000 |  -6.721310 |      869 |   1195 |     311 |  21.509313 | 0.666855
  78 | 0.012821 | 0.024148 |  21.509313 |     22 | 0.666855 | 2.400000 | 3.905000 | 4.000000 | 3.965000 |   0.724685 |      781 |   1179 |     379 |  21.490018 | 0.676146
  79 | 0.012658 | 0.024120 |  21.490018 |     22 | 0.676146 | 2.400000 | 4.125000 | 4.445000 | 4.220000 |   4.664134 |      825 |   1215 |     369 |  21.468183 | 0.735185
  80 | 0.012500 | 0.024092 |  21.468183 |     22 | 0.735185 | 2.400000 | 4.545000 | 4.410000 | 4.330000 |   1.660281 |      909 |   1254 |     327 |  21.441370 | 0.755939
  81 | 0.012346 | 0.024065 |  21.441370 |     22 | 0.755939 | 2.400000 | 4.395000 | 4.185000 | 4.645000 |  -9.557593 |      879 |   1196 |     300 |  21.416741 | 0.637944
  82 | 0.012195 | 0.024037 |  21.416741 |     22 | 0.637944 | 2.400000 | 4.150000 | 3.750000 | 3.495000 |   5.304278 |      830 |   1231 |     379 |  21.395399 | 0.702630
  83 | 0.012048 | 0.024010 |  21.395399 |     22 | 0.702630 | 2.400000 | 4.305000 | 4.725000 | 4.110000 |  12.807161 |      861 |   1240 |     357 |  21.372448 | 0.856933
  84 | 0.011905 | 0.023983 |  21.372448 |     22 | 0.856933 | 2.400000 | 2.865000 | 2.485000 | 3.405000 | -19.180218 |      573 |    725 |     140 |  21.366912 | 0.628597
  85 | 0.011765 | 0.023956 |  21.366912 |     22 | 0.628597 | 2.400000 | 3.565000 | 4.300000 | 3.260000 |  21.706180 |      713 |   1122 |     388 |  21.353206 | 0.883964
  86 | 0.011628 | 0.023930 |  21.353206 |     22 | 0.883964 | 2.400000 | 2.455000 | 1.965000 | 2.810000 | -17.655806 |      491 |    588 |      94 |  21.352566 | 0.678664
  87 | 0.011494 | 0.023904 |  21.352566 |     22 | 0.678664 | 2.400000 | 4.430000 | 3.675000 | 3.785000 |  -2.300916 |      886 |   1277 |     369 |  21.329233 | 0.652217
  88 | 0.011364 | 0.023877 |  21.329233 |     22 | 0.652217 | 2.400000 | 3.725000 | 3.945000 | 3.350000 |  12.459449 |      745 |   1152 |     385 |  21.314176 | 0.793802
  89 | 0.011236 | 0.023852 |  21.314176 |     22 | 0.793802 | 2.400000 | 3.990000 | 3.610000 | 4.410000 | -16.770353 |      798 |   1038 |     225 |  21.296311 | 0.605371
  90 | 0.011111 | 0.023826 |  21.296311 |     22 | 0.605371 | 2.400000 | 3.250000 | 4.090000 | 3.525000 |  11.856804 |      650 |   1065 |     393 |  21.286867 | 0.737113
  91 | 0.010989 | 0.023801 |  21.286867 |     22 | 0.737113 | 2.400000 | 4.780000 | 4.430000 | 4.385000 |   0.945356 |      956 |   1279 |     306 |  21.260713 | 0.747501
  92 | 0.010870 | 0.023775 |  21.260713 |     22 | 0.747501 | 2.400000 | 4.475000 | 4.215000 | 4.160000 |   1.156661 |      895 |   1227 |     317 |  21.238158 | 0.760074
  93 | 0.010753 | 0.023750 |  21.238158 |     22 | 0.760074 | 2.400000 | 4.515000 | 4.115000 | 4.675000 | -11.789311 |      903 |   1201 |     285 |  21.215417 | 0.633307
  94 | 0.010638 | 0.023726 |  21.215417 |     22 | 0.633307 | 2.400000 | 3.990000 | 4.020000 | 3.195000 |  17.386346 |      798 |   1207 |     390 |  21.198502 | 0.818268
  95 | 0.010526 | 0.023701 |  21.198502 |     22 | 0.818268 | 2.400000 | 3.635000 | 3.165000 | 3.885000 | -15.189298 |      727 |    921 |     186 |  21.185502 | 0.658381
  96 | 0.010417 | 0.023676 |  21.185502 |     22 | 0.658381 | 2.400000 | 3.995000 | 4.430000 | 3.870000 |  11.826084 |      799 |   1197 |     377 |  21.168887 | 0.781569
  97 | 0.010309 | 0.023652 |  21.168887 |     22 | 0.781569 | 2.400000 | 4.195000 | 3.805000 | 4.405000 | -12.683784 |      839 |   1107 |     254 |  21.150382 | 0.650808
  98 | 0.010204 | 0.023628 |  21.150382 |     22 | 0.650808 | 2.400000 | 4.420000 | 4.125000 | 3.955000 |   3.597395 |      884 |   1273 |     369 |  21.129770 | 0.687517
  99 | 0.010101 | 0.023604 |  21.129770 |     22 | 0.687517 | 2.400000 | 4.040000 | 4.390000 | 4.025000 |   7.731625 |      808 |   1192 |     362 |  21.113204 | 0.765614
 100 | 0.010000 | 0.023581 |  21.113204 |     22 | 0.765614 | 2.400000 | 4.370000 | 4.055000 | 4.420000 |  -7.739387 |      874 |   1160 |     272 |  21.093504 | 0.688220
 101 | 0.009901 | 0.023557 |  21.093504 |     22 | 0.688220 | 2.400000 | 4.070000 | 4.480000 | 4.030000 |   9.551225 |      814 |   1200 |     366 |  21.076969 | 0.782787
 102 | 0.009804 | 0.023534 |  21.076969 |     22 | 0.782787 | 2.400000 | 4.035000 | 3.810000 | 4.215000 |  -8.604617 |      807 |   1095 |     270 |  21.060940 | 0.698428
 103 | 0.009709 | 0.023511 |  21.060940 |     22 | 0.698428 | 2.400000 | 4.705000 | 4.785000 | 3.960000 |  17.545173 |      941 |   1310 |     347 |  21.038561 | 0.868769
 104 | 0.009615 | 0.023488 |  21.038561 |     22 | 0.868769 | 2.400000 | 2.720000 | 2.315000 | 3.120000 | -17.136574 |      544 |    665 |     114 |  21.035484 | 0.703994
 105 | 0.009524 | 0.023465 |  21.035484 |     22 | 0.703994 | 2.400000 | 4.875000 | 4.425000 | 4.270000 |   3.302794 |      975 |   1336 |     340 |  21.011913 | 0.735449
 106 | 0.009434 | 0.023442 |  21.011913 |     22 | 0.735449 | 2.400000 | 4.670000 | 4.335000 | 4.235000 |   2.132891 |      934 |   1280 |     324 |  20.990498 | 0.755571
 107 | 0.009346 | 0.023420 |  20.990498 |     21 | 0.755571 | 2.400000 | 4.140000 | 4.185000 | 4.310000 |  -2.668671 |      828 |   1145 |     296 |  20.974236 | 0.730630
 108 | 0.009259 | 0.023398 |  20.974236 |     21 | 0.730630 | 2.400000 | 4.625000 | 4.335000 | 3.610000 |  15.493037 |      925 |   1263 |     320 |  20.953634 | 0.874084
 109 | 0.009174 | 0.023375 |  20.953634 |     21 | 0.874084 | 2.400000 | 2.675000 | 2.140000 | 3.070000 | -19.892644 |      535 |    638 |     101 |  20.951111 | 0.691583
 110 | 0.009091 | 0.023354 |  20.951111 |     21 | 0.691583 | 2.400000 | 4.155000 | 4.340000 | 4.135000 |   4.389063 |      831 |   1198 |     349 |  20.935157 | 0.731484
 111 | 0.009009 | 0.023332 |  20.935157 |     21 | 0.731484 | 2.400000 | 4.565000 | 4.190000 | 4.315000 |  -2.678761 |      913 |   1253 |     323 |  20.915652 | 0.707351
 112 | 0.008929 | 0.023310 |  20.915652 |     21 | 0.707351 | 2.400000 | 4.145000 | 4.230000 | 4.060000 |   3.646500 |      829 |   1186 |     342 |  20.900072 | 0.739909
 113 | 0.008850 | 0.023289 |  20.900072 |     21 | 0.739909 | 2.400000 | 4.725000 | 4.275000 | 4.055000 |   4.723358 |      945 |   1262 |     304 |  20.879497 | 0.781708
 114 | 0.008772 | 0.023267 |  20.879497 |     21 | 0.781708 | 2.400000 | 4.085000 | 3.860000 | 4.270000 |  -8.810700 |      817 |   1102 |     268 |  20.864716 | 0.704421
 115 | 0.008696 | 0.023246 |  20.864716 |     21 | 0.704421 | 2.400000 | 4.305000 | 4.315000 | 4.005000 |   6.667826 |      861 |   1230 |     349 |  20.848151 | 0.762402
 116 | 0.008621 | 0.023225 |  20.848151 |     21 | 0.762402 | 2.400000 | 4.295000 | 4.200000 | 4.395000 |  -4.198081 |      859 |   1156 |     281 |  20.831815 | 0.726212
